,nameLast,nameGiven,height-plus-weight
330,Anderson,Harold,231.0
331,Anderson,Harry Walter,280.0
332,Anderson,Jason Roger,260.0
333,Anderson,James Lea,242.0
334,Anderson,James Drew,268.0
335,Anderson,John Joseph,254.0
336,Anderson,John Charles,263.0
337,Anderson,Joshua Aaron,269.0
338,Anderson,Kent McKay,253.0
339,Anderson,Lawrence Dennis,265.0
340,Andersen,Larry Eugene,275.0
341,Anderson,Lars Eric,291.0
342,Anderson,Matthew Jason,276.0
343,Anderson,Marlon Ordell,260.0
344,Anderson,Michael Allen,274.0
345,Anderson,Michael James,275.0
346,Anderson,Arnold Revola,285.0
347,Anderson,Richard Lee,284.0
348,Anderson,Richard Arlen,247.0
349,Anderson,Scott Richard,268.0
350,Anderson,George Lee,239.0
351,Anderson,Timothy Devon,258.0
352,Anderson,Tyler John,286.0
353,Anderson,Warner Samuel,235.0
354,Anderson,Walter Carl,234.0
355,Anderson,Wingo Charlie,220.0
356,Andino,Robert Lazaro,256.0
357,Andrade,Stephen Michael,293.0
358,Andrews,Clayton John,247.0
359,Andrews,George Edward,228.0
360,Andrews,Elbert DeVore,247.0
361,Andres,Ernest Henry,273.0
362,Andrews,Fred,231.0
363,Andrews,Hubert,242.0
364,Andrews,Ivy Paul,273.0
365,Andrews,James Pratt,
366,Andre,John Edward,276.0
367,Andrews,John Richard,245.0
368,Andrew,Kim Darrell,230.0
369,Andrews,Michael Jay,270.0
370,Andrews,Nathan Hardy,267.0
371,Andrews,Robert Patrick,257.0
372,Andrews,Darrell Shane,288.0
373,Andrews,Stanley Joseph,249.0
374,Andrews,William Walter,245.0
375,Andriese,Matthew Lee,290.0
376,Andrus,William Morgan,257.0
377,Andrus,Elvis Augusto,272.0
378,Andrus,Frederick Hotham,259.0
379,Andrus,William Wiman,221.0
380,Andujar,Joaquin,242.0
381,Andujar,Luis,249.0
382,Angelini,Norman Stanley,246.0
383,Angle,Matthew Ryan,254.0
384,Angley,Thomas Samuel,258.0
385,Ankenman,Frederick Norman,189.0
386,Ankiel,Richard Alexander,283.0
387,Anna,Dean William,251.0
388,Annis,William Perley,217.0
389,Anson,Adrian Constantine,299.0
390,Anthony,Eric Todd,269.0
391,Antolin,Dustin Kamakana Mai Ku'u Makualani,304.0
392,Antolick,Joseph,257.0
393,Antonello,William James,256.0
394,Antonelli,John Lawrence,235.0
395,Antonelli,John August,258.0
396,Antonelli,Matthew Antonio,268.0
397,Aoki,Norichika,249.0
398,Aparicio,Luis Ernesto,229.0
399,Apodaca,Robert John,241.0
400,Aponte,Luis Eduardo,257.0
401,Appier,Robert Kevin,254.0
402,Appleton,Edward Samuel,245.0
403,Applegate,Frederick Romaine,254.0
404,Appleton,Peter William,251.0
405,Appling,Lucius Benjamin,253.0
406,Aquino,Gregori Emilio,263.0
407,Aquino,Jayson Julio,298.0
408,Aquino,Luis Antonio,227.0
409,Aragon,Angel,215.0
410,Aragon,Angel Valdes,246.0
411,Araujo,Elvis Alejandro,354.0
412,Archdeacon,Maurice John,221.0
413,Archer,Christopher Alan,265.0
414,Archer,Frederick Marvin,265.0
415,Archer,James Patrick,238.0
416,Archer,James William,262.0
417,Archie,George Albert,242.0
418,Arcia,Jose Raimundo,245.0
419,Arcia,Orlando Jesus,237.0
420,Arcia,Oswaldo Celestino,297.0
421,Ardell,Daniel Miers,264.0
422,Ardizoia,Rinaldo Joseph,251.0
423,Ardner,Joseph A.,227.0
424,Ardoin,Daniel Wayne,277.0
425,Arellanes,Frank Julian,252.0
426,Arenado,Nolan James,279.0
427,Arencibia,Jonathan Paul,283.0
428,Arft,Henry Irven,260.0
429,Arias,Alejandro,260.0
430,Arias,Alberto A.,226.0
431,Arias,George Alberto,261.0
432,Arias,Joaquin,258.0
433,Arias,Rodolfo,235.0
434,Arlett,Russell Loris,300.0
435,Arlich,Donald Louis,259.0
436,Arlin,Stephen Ralph,270.0
437,Armas,Marcos Rafael,267.0
438,Armas,Antonio Rafael,253.0
439,Armas,Antonio Jose,281.0
440,Armbruster,Charles Anthony,249.0
441,Armbrister,Edison Rosanda,231.0
442,Armbruster,Harry Gregory,260.0
443,Armbrust,Orville Martin,265.0
444,Armour,William Reginald,
445,Armstrong,Robert,234.0
446,Armstrong,Noble George,260.0
447,Armstrong,Howard Elmer,234.0
